"Reference","Value","Footprint","Datasheet","Allied_Number","Arrow Part Number","Arrow Price/Stock","Description","Digikey Part Number","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","RS Part Number","RS Price/Stock","Tolerance","URL","Voltage","Qty"
"R30","3.88k","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","~","","","","","YAG4550CT-ND","","Yageo","RT0603BRD073K88L","","","","","1%","https://www.digikey.com/product-detail/en/yageo/RT0603BRD073K88L/YAG4550CT-ND/6616706","","1"
"R32","2.4k","Resistor_SMD:R_0805_2012Metric","~","","","","","311-2.40KCRCT-ND","","Yageo","RC0805FR-072K4L","","","","","","https://www.digikey.com/product-detail/en/yageo/RC0805FR-072K4L/311-2.40KCRCT-ND/730637","","1"
"R36, R37, R74","2.49k","Resistor_SMD:R_0805_2012Metric","~","","","","","YAG1854CT-ND","","Yageo","RT0805BRD072K49L","","","","","0.1%","https://www.digikey.com/product-detail/en/yageo/RT0805BRD072K49L/YAG1854CT-ND/5139302","","3"
"R40, R41, R45, R46, R50, R53","180k","Resistor_SMD:R_0805_2012Metric","~","","","","","311-180KCRCT-ND","","Yageo","RC0805FR-07180KL","","","","","","https://www.digikey.com.au/product-detail/en/yageo/RC0805FR-07180KL/311-180KCRCT-ND/730597","","6"
"R42, R43, R47, R48, R51, R54","348k","Resistor_SMD:R_0805_2012Metric","~","","","","","P348KCDKR-ND","","Panasonic","ERJ-6ENF3483V","","","","","","https://www.digikey.com.au/product-detail/en/panasonic-electronic-components/ERJ-6ENF3483V/P348KCDKR-ND/576673","","6"
"R59-R62, R69-R72","100k","Resistor_SMD:R_0805_2012Metric","~","","","","","311-100KCRCT-ND","","Yageo","RC0805FR-07100KL","","","","","","https://www.digikey.com/product-detail/en/yageo/RC0805FR-07100KL/311-100KCRCT-ND/730491","","8"
"SW1, SW2, SW4, SW5","SW_DPDT_x2","Misc:AYZ0202AGRLC","http://uk.rs-online.com/web/p/products/7931504P","70417470","","","AYZ0202AGRLC (Slide Switches)","401-2013-1-ND","","C & K COMPONENTS","AYZ0202AGRLC","","","7931504P","http://uk.rs-online.com/web/p/products/7931504P","","https://www.digikey.com.au/product-detail/en/c-k/AYZ0202AGRLC/401-2013-1-ND/1640122","","4"
"SW3","SW_DIP_x02","Button_Switch_SMD:SW_DIP_SPSTx02_Slide_9.78x7.26mm_W8.61mm_P2.54mm","~","","","","","679-3566-1-ND","","APEM Inc.","IKN0204000","","","","","","https://www.digikey.com.au/product-detail/en/apem-inc/IKN0204000/679-3566-1-ND/4384369","","1"
"U1","Teensy4.1","Shields:Teensy41","","","","","","","","","","","","","","","","","1"
"U2","MCP2562-E-SN","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/25167A.pdf","","","","","MCP2562-E/SN-ND","","Microchip Technology","MCP2562-E/SN","","","","","","https://www.digikey.com.au/products/en?keywords=MCP2562-E-SN","","1"
"U3","W25Q32JVSS","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","http://www.winbond.com/resource-files/w25q32jv%20revg%2003272018%20plus.pdf","","","","","W25Q32JVSSIQCT-ND","","Winbond Electronics","W25Q32JVSSIQ","","","","","","https://www.digikey.com.au/product-detail/en/winbond-electronics/W25Q32JVSSIQ-TR/W25Q32JVSSIQCT-ND/7393546","","1"
"U4","~","Misc:ESP32-C3 SUPERMINI","","","","","","","","","","","","","","","","","1"
"U5, U6, U9, U10","TC4424A","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","","","","","TC4424AVOA-ND","","Microchip","TC4424AVOA","","","","","","https://www.digikey.com/product-detail/en/microchip-technology/TC4424AVOA/TC4424AVOA-ND/1098908","","4"
"U7, U8","MC33810","IC_Automotive:SOIC32-P0.65-33N","","","","","","","","NXP","MCZ33810EK","","","","","","https://au.mouser.com/ProductDetail/NXP-Semiconductors/MCZ33810EK?qs=sGAEpiMZZMvKM5ialpXrmvfCXFdxx390","","2"
"U11","KP234","Misc:KP234","","","","","","448-KP234XTMA1CT-ND","","Infineon","KP234XTMA1","","","","","","https://www.digikey.com.au/product-detail/en/infineon-technologies/KP234XTMA1/448-KP234XTMA1CT-ND/12718428","","1"
"U12, U14","LMV324LIDT","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lmv324.pdf","","","","","497-13052-1-ND","","STMicroelectronics","LMV324LIDT","","","","","","https://www.digikey.com.au/product-detail/en/stmicroelectronics/LMV324LIDT/497-13052-1-ND/3458219","","2"
"U13","SP720","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://m.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_sp720_datasheet.pdf.pdf","","","","","F3162CT-ND","","Littelfuse","SP720ABTG","","","","","","https://www.digikey.com/product-detail/en/littelfuse-inc/SP720ABTG/F3162CT-ND/1984458","","1"
"U15","MC78M05_TO252","Package_TO_SOT_SMD:TO-252-2","https://www.onsemi.com/pdf/datasheet/mc7800-d.pdf","","","","","NCV7805BDTRKGOSCT-ND","","ON Semi","NCV7805BDTRKG","","","","","","https://www.digikey.com/en/products/detail/onsemi/NCV7805BDTRKG/1792758","","1"
